ticker,name,close_first,close_last,close_mean,close_std,close_min,close_max,return_mean,return_std,return_min,return_max,volume_mean,date_min,date_max,date_count,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,category
AES,AES Corporation,16.1075,13.965,17.0876,4.1211,7.7423,25.6476,0.0003,0.0265,-0.173,0.1978,7548095.7013,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,-13.301257178333081,7.559999999999999,42.06744584592699,0.17971140980816083,Global
BE,Bloom Energy (fuel cells),7.88,116.315,22.1311,18.4188,3.07,142.37,0.0035,0.0595,-0.2479,0.5919,5189777.9315,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,1376.0786802030457,88.2,94.45332180500588,0.9337945803757379,Global
BEP,Brookfield Renewable Partners,19.0689,28.34,26.4064,4.7174,12.9604,40.1312,0.0005,0.0226,-0.143,0.1669,501146.1168,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,48.6189554719989,12.6,35.87638777803585,0.351205926247512,Global
BEPC,Brookfield Renewable Corporation,22.9063,40.22,30.4002,5.5257,19.7633,50.7291,0.0007,0.0218,-0.0955,0.1063,839499.0986,2020-07-24 00:00:00-04:00,2025-12-04 00:00:00-05:00,1349,75.58488276151101,17.64,34.60642714872485,0.5097319039665725,Global
BLNK,Blink Charging,1.89,1.425,12.3848,13.3523,0.663,60.72,0.0017,0.0641,-0.1863,0.5909,3905748.1356,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,-24.603174603174594,42.84,101.75559542354418,0.4210087889681563,Global
CHPT,ChargePoint,196.0,8.64,216.596,199.119,7.57,922.0,-0.0009,0.0499,-0.3546,0.3028,513050.5758,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,-95.59183673469389,-22.68,79.21379425327385,-0.28631376913324225,Global
CSIQ,Canadian Solar,22.52,24.62,27.4151,11.9955,6.76,64.15,0.001,0.0439,-0.2119,0.2101,1573898.9564,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,9.32504440497337,25.2,69.68908953344132,0.36160610174003516,Global
CWEN,Clearway Energy,14.8151,34.44,24.5529,4.5243,12.3957,36.167,0.0008,0.021,-0.1712,0.1607,839951.1523,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,132.46552503864302,20.16,33.33646651941385,0.6047431568147634,Global
DNNGY,Orsted ADR,31.9468,7.13,30.2809,13.5807,5.76,71.4914,-0.0003,0.0351,-0.4407,0.2978,80196.8738,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,-77.68164573603616,-7.559999999999999,55.71952261102028,-0.13567955441356871,Global
DQ,Daqo New Energy,10.996,30.71,37.1804,21.6083,8.566,124.13,0.002,0.051,-0.2275,0.2797,1504620.4154,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,179.28337577300834,50.4,80.95999011857647,0.6225297202504919,Global
DUK,Duke Energy,71.1525,118.15,90.7308,15.4574,51.0174,127.9181,0.0005,0.0149,-0.115,0.123,3201604.7826,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,66.0517901690032,12.6,23.653016720917442,0.5327016062546155,Global
ENPH,Enphase Energy,29.34,29.9829,131.6734,73.5021,23.99,336.0,0.0011,0.047,-0.26,0.4244,4437012.4725,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,2.1912065439672723,27.72,74.61018697202147,0.37153103517077224,Global
FSLR,First Solar,57.24,257.36,135.2159,60.6316,30.2,300.71,0.0016,0.0346,-0.1789,0.2648,2419456.6154,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,349.6156533892383,40.32,54.925797217700904,0.7340812886190772,Global
IBDRY,Iberdrola ADR,31.8527,83.86,46.2165,11.9946,27.5562,84.94,0.0008,0.0161,-0.1468,0.1406,102703.345,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,163.27438490300668,20.16,25.557957664883947,0.7887954219323002,Global
JINDALSAW.NS,Jindal Saw,38.6358,164.0,125.6161,102.8101,18.694,370.4325,0.0015,0.0311,-0.1676,0.1548,3163619.8265,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,324.47678060244635,37.8,49.36971946446526,0.7656515048096885,India
