0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,report_date,source_url
,,"AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025",2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
1,Automobile and Auto Components,512110,50,220,0,0,0,0,0,0,0,0,512380,58537,6,25,0,0,0,0,0,0,0,0,58568,-814,0,0,0,0,0,0,0,0,0,0,-814,-93,0,0,0,0,0,0,0,0,0,0,-93,2617,0,0,0,0,0,0,0,0,0,0,2617,298,0,0,0,0,0,0,0,0,0,0,298,533262,70,220,0,0,0,0,0,0,0,0,533552,60700,8,25,0,0,0,0,0,0,0,0,60733,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
2,Capital Goods,373595,577,37,0,0,0,0,0,0,0,0,374209,42704,66,4,0,0,0,0,0,0,0,0,42774,1132,-13,-1,0,0,0,0,0,0,0,0,1118,129,-1,0,0,0,0,0,0,0,0,0,128,764,-7,0,0,0,0,0,0,0,0,0,757,87,-1,0,0,0,0,0,0,0,0,0,86,371447,570,37,0,0,0,0,0,0,0,0,372054,42281,65,4,0,0,0,0,0,0,0,0,42350,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
3,Chemicals,133377,0,523,0,0,0,0,0,0,0,0,133900,15246,0,60,0,0,0,0,0,0,0,0,15306,410,0,0,0,0,0,0,0,0,0,0,410,47,0,0,0,0,0,0,0,0,0,0,47,1161,0,0,0,0,0,0,0,0,0,0,1161,132,0,0,0,0,0,0,0,0,0,0,132,133984,0,523,0,0,0,0,0,0,0,0,134507,15251,0,60,0,0,0,0,0,0,0,0,15311,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
4,Construction,124536,95,150,0,94,0,0,0,0,0,0,124875,14235,11,17,0,11,0,0,0,0,0,0,14274,1378,0,0,0,0,0,0,0,0,0,0,1378,158,0,0,0,0,0,0,0,0,0,0,158,-22,0,0,0,22,0,0,0,0,0,0,0,-2,0,0,0,3,0,0,0,0,0,0,1,121875,95,150,0,113,0,0,0,0,0,0,122233,13873,11,17,0,13,0,0,0,0,0,0,13914,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
5,Construction Materials,126115,1250,0,0,0,0,0,0,0,0,0,127365,14416,143,0,0,0,0,0,0,0,0,0,14559,1690,0,0,0,0,0,0,0,0,0,0,1690,193,0,0,0,0,0,0,0,0,0,0,193,785,0,0,0,0,0,0,0,0,0,0,785,89,0,0,0,0,0,0,0,0,0,0,89,128186,1250,0,0,0,0,0,0,0,0,0,129436,14591,142,0,0,0,0,0,0,0,0,0,14733,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
6,Consumer Durables,186627,0,0,0,0,0,0,0,0,0,0,186627,21332,0,0,0,0,0,0,0,0,0,0,21332,-1133,0,0,0,0,0,0,0,0,0,0,-1133,-129,0,0,0,0,0,0,0,0,0,0,-129,-836,0,0,0,0,0,0,0,0,0,0,-836,-95,0,0,0,0,0,0,0,0,0,0,-95,190443,0,0,0,0,0,0,0,0,0,0,190443,21678,0,0,0,0,0,0,0,0,0,0,21678,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
