0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,report_date,source_url
,,"AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025",2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
1,Automobile and Auto Components,569410,477,220,0,0,0,0,0,0,0,0,570107,64128,54,25,0,0,0,0,0,0,0,0,64207,1733,0,0,0,0,0,0,0,0,0,0,1733,195,0,0,0,0,0,0,0,0,0,0,195,1560,0,0,0,0,0,0,0,0,0,0,1560,177,0,0,0,0,0,0,0,0,0,0,177,558431,477,220,0,0,0,0,0,0,0,0,559128,63250,54,25,0,0,0,0,0,0,0,0,63329,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
2,Capital Goods,390619,541,35,0,0,0,0,0,0,0,0,391195,43992,61,4,0,0,0,0,0,0,0,0,44057,1492,-7,-1,0,0,0,0,0,0,0,0,1484,168,-1,0,0,0,0,0,0,0,0,0,167,-851,-23,-1,0,0,0,0,0,0,0,0,-875,-96,-3,0,0,0,0,0,0,0,0,0,-99,392533,540,35,0,0,0,0,0,0,0,0,393108,44460,61,4,0,0,0,0,0,0,0,0,44525,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
3,Chemicals,130244,0,523,0,0,0,0,0,0,0,0,130767,14668,0,59,0,0,0,0,0,0,0,0,14727,-406,0,0,0,0,0,0,0,0,0,0,-406,-46,0,0,0,0,0,0,0,0,0,0,-46,-316,0,0,0,0,0,0,0,0,0,0,-316,-36,0,0,0,0,0,0,0,0,0,0,-36,131870,0,523,0,0,0,0,0,0,0,0,132393,14936,0,59,0,0,0,0,0,0,0,0,14995,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
4,Construction,125139,95,150,0,110,0,0,0,0,0,0,125494,14093,11,17,0,12,0,0,0,0,0,0,14133,726,0,0,0,-1,0,0,0,0,0,0,725,82,0,0,0,0,0,0,0,0,0,0,82,641,0,0,0,-1,0,0,0,0,0,0,640,73,0,0,0,0,0,0,0,0,0,0,73,130256,95,150,0,108,0,0,0,0,0,0,130609,14753,11,17,0,12,0,0,0,0,0,0,14793,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
5,Construction Materials,123293,1250,0,0,0,0,0,0,0,0,0,124543,13886,141,0,0,0,0,0,0,0,0,0,14027,-220,0,0,0,0,0,0,0,0,0,0,-220,-25,0,0,0,0,0,0,0,0,0,0,-25,-94,0,0,0,0,0,0,0,0,0,0,-94,-11,0,0,0,0,0,0,0,0,0,0,-11,124485,1250,0,0,0,0,0,0,0,0,0,125735,14100,142,0,0,0,0,0,0,0,0,0,14242,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
6,Consumer Durables,179900,0,0,0,0,0,0,0,0,0,0,179900,20261,0,0,0,0,0,0,0,0,0,0,20261,-3301,0,0,0,0,0,0,0,0,0,0,-3301,-372,0,0,0,0,0,0,0,0,0,0,-372,-213,0,0,0,0,0,0,0,0,0,0,-213,-24,0,0,0,0,0,0,0,0,0,0,-24,184823,0,0,0,0,0,0,0,0,0,0,184823,20934,0,0,0,0,0,0,0,0,0,0,20934,2025-OCT-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT152025.html
