0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,report_date,source_url
,,"AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","Net Investment September 16-30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025","AUC as on September 30, 2025",2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
1,Automobile and Auto Components,572718,477,220,0,0,0,0,0,0,0,0,573415,64883,54,25,0,0,0,0,0,0,0,0,64962,1908,0,0,0,0,0,0,0,0,0,0,1908,216,0,0,0,0,0,0,0,0,0,0,216,1733,0,0,0,0,0,0,0,0,0,0,1733,195,0,0,0,0,0,0,0,0,0,0,195,569410,477,220,0,0,0,0,0,0,0,0,570107,64128,54,25,0,0,0,0,0,0,0,0,64207,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
2,Capital Goods,396438,570,37,0,0,0,0,0,0,0,0,397045,44913,65,4,0,0,0,0,0,0,0,0,44982,1518,0,0,0,0,0,0,0,0,0,0,1518,172,0,0,0,0,0,0,0,0,0,0,172,1492,-7,-1,0,0,0,0,0,0,0,0,1484,168,-1,0,0,0,0,0,0,0,0,0,167,390619,541,35,0,0,0,0,0,0,0,0,391195,43992,61,4,0,0,0,0,0,0,0,0,44057,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
3,Chemicals,134628,0,523,0,0,0,0,0,0,0,0,135151,15252,0,59,0,0,0,0,0,0,0,0,15311,23,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,3,-406,0,0,0,0,0,0,0,0,0,0,-406,-46,0,0,0,0,0,0,0,0,0,0,-46,130244,0,523,0,0,0,0,0,0,0,0,130767,14668,0,59,0,0,0,0,0,0,0,0,14727,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
4,Construction,123394,95,150,0,113,0,0,0,0,0,0,123752,13979,11,17,0,13,0,0,0,0,0,0,14020,130,0,0,0,0,0,0,0,0,0,0,130,15,0,0,0,0,0,0,0,0,0,0,15,726,0,0,0,-1,0,0,0,0,0,0,725,82,0,0,0,0,0,0,0,0,0,0,82,125139,95,150,0,110,0,0,0,0,0,0,125494,14093,11,17,0,12,0,0,0,0,0,0,14133,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
5,Construction Materials,125748,1250,0,0,0,0,0,0,0,0,0,126998,14246,142,0,0,0,0,0,0,0,0,0,14388,-1193,0,0,0,0,0,0,0,0,0,0,-1193,-135,0,0,0,0,0,0,0,0,0,0,-135,-220,0,0,0,0,0,0,0,0,0,0,-220,-25,0,0,0,0,0,0,0,0,0,0,-25,123293,1250,0,0,0,0,0,0,0,0,0,124543,13886,141,0,0,0,0,0,0,0,0,0,14027,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
6,Consumer Durables,192985,0,0,0,0,0,0,0,0,0,0,192985,21863,0,0,0,0,0,0,0,0,0,0,21863,-326,0,0,0,0,0,0,0,0,0,0,-326,-37,0,0,0,0,0,0,0,0,0,0,-37,-3301,0,0,0,0,0,0,0,0,0,0,-3301,-372,0,0,0,0,0,0,0,0,0,0,-372,179900,0,0,0,0,0,0,0,0,0,0,179900,20261,0,0,0,0,0,0,0,0,0,0,20261,2025-SEP-30,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_SEP302025.html
